               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058947,            0.023736,            0.033483,             0.36913,             0.72352,             0.45339,             0.23016,            0.026921,           0.0088028,            0.017246,            0.070214,           0.0033095,           0.0033095
                   1,            0.038384,            0.013228,            0.024328,             0.63499,             0.79994,             0.74776,             0.40978,            0.023658,           0.0072117,            0.011923,             0.04017,            0.006599,            0.006599
                   2,            0.033058,            0.010948,            0.017775,              0.8387,             0.88586,              0.9146,             0.46381,            0.024509,           0.0072328,           0.0075609,            0.010083,           0.0098445,           0.0098445
                   3,            0.028786,            0.010382,            0.016273,             0.84916,             0.86354,             0.89408,             0.54366,             0.01751,           0.0075193,           0.0096189,            0.009802,            0.009802,            0.009802
                   4,            0.027961,            0.010181,            0.014936,             0.83569,             0.81214,             0.88288,             0.54636,             0.01955,           0.0076728,            0.013433,            0.009802,            0.009802,            0.009802
                   5,            0.025181,           0.0098368,            0.015312,             0.93784,             0.92371,             0.96707,             0.60144,            0.017913,           0.0071198,           0.0053951,            0.009736,            0.009736,            0.009736
                   6,            0.023892,           0.0093747,            0.013654,             0.88742,             0.92379,              0.9672,             0.74847,            0.012539,           0.0057394,           0.0068815,             0.00967,             0.00967,             0.00967
                   7,            0.023867,           0.0093234,            0.013096,             0.91377,             0.92974,             0.96082,             0.77405,            0.010816,           0.0055645,           0.0057359,            0.009604,            0.009604,            0.009604
                   8,            0.023357,           0.0092502,            0.012797,             0.91404,              0.9337,             0.96827,              0.7644,            0.011636,            0.005538,           0.0052795,            0.009538,            0.009538,            0.009538
                   9,            0.022396,           0.0091602,            0.012296,             0.91115,              0.9212,             0.96569,              0.7448,            0.012067,           0.0058203,           0.0052017,            0.009472,            0.009472,            0.009472
                  10,            0.022311,            0.009074,            0.010998,             0.89519,             0.91536,              0.9602,             0.77354,            0.010623,           0.0054168,           0.0070561,            0.009406,            0.009406,            0.009406
                  11,            0.021125,           0.0088565,            0.011933,             0.84199,             0.91685,             0.93386,             0.68852,             0.01308,           0.0058456,           0.0079064,             0.00934,             0.00934,             0.00934
                  12,            0.020323,            0.008524,            0.012299,             0.85742,             0.87013,             0.90624,             0.73106,           0.0096876,           0.0051397,            0.010793,            0.009274,            0.009274,            0.009274
                  13,            0.020121,            0.008399,            0.010276,             0.91124,             0.95476,             0.97569,             0.80765,           0.0095966,           0.0050352,           0.0048149,            0.009208,            0.009208,            0.009208
                  14,            0.020865,           0.0086523,            0.011725,             0.94636,             0.94583,             0.97876,             0.80366,           0.0099141,           0.0050261,            0.003997,            0.009142,            0.009142,            0.009142
                  15,            0.020312,           0.0085878,            0.010835,             0.94032,             0.91545,              0.9749,             0.81627,           0.0090654,           0.0049548,            0.005692,            0.009076,            0.009076,            0.009076
                  16,            0.020226,           0.0085114,            0.010734,             0.93515,             0.94009,              0.9782,             0.81328,           0.0095717,           0.0050411,           0.0041704,             0.00901,             0.00901,             0.00901
                  17,            0.020029,           0.0084957,            0.010447,             0.91566,             0.93359,             0.97192,             0.78804,            0.010253,           0.0051486,           0.0049949,            0.008944,            0.008944,            0.008944
                  18,            0.019856,            0.008449,            0.011021,             0.92182,              0.9363,             0.97121,             0.79622,           0.0096396,           0.0049773,           0.0045968,            0.008878,            0.008878,            0.008878
                  19,            0.019784,           0.0084206,           0.0096976,             0.92623,             0.94416,              0.9733,             0.79696,           0.0097956,           0.0049633,           0.0047607,            0.008812,            0.008812,            0.008812
                  20,            0.019606,           0.0082592,            0.010868,             0.91164,             0.95563,              0.9767,             0.80786,           0.0090847,           0.0049669,           0.0046073,            0.008746,            0.008746,            0.008746
                  21,            0.019373,           0.0083016,            0.010548,             0.93538,             0.92686,             0.97458,             0.81449,           0.0088008,           0.0049316,           0.0045874,             0.00868,             0.00868,             0.00868
                  22,            0.018533,           0.0082134,            0.010169,             0.92427,             0.93546,             0.97359,             0.81112,            0.009307,           0.0050509,           0.0048363,            0.008614,            0.008614,            0.008614
                  23,            0.018479,            0.008105,             0.01021,             0.94914,             0.94405,             0.98194,              0.8111,           0.0092011,           0.0048879,           0.0037688,            0.008548,            0.008548,            0.008548
                  24,            0.018862,           0.0081468,             0.01016,             0.93196,              0.9388,             0.97466,             0.82797,           0.0084547,           0.0047171,           0.0046747,            0.008482,            0.008482,            0.008482
                  25,            0.018702,            0.008127,            0.010347,             0.92021,              0.9371,             0.97164,             0.81812,           0.0087337,           0.0048195,           0.0045243,            0.008416,            0.008416,            0.008416
                  26,            0.018806,           0.0080686,           0.0099867,             0.93058,              0.9499,             0.98278,             0.83534,           0.0084208,           0.0046219,           0.0038478,             0.00835,             0.00835,             0.00835
                  27,            0.019149,           0.0081222,            0.009807,             0.90926,             0.93992,              0.9759,             0.83132,           0.0084016,           0.0046835,           0.0048902,            0.008284,            0.008284,            0.008284
                  28,            0.018204,           0.0080304,            0.010121,             0.91682,             0.92823,             0.97806,             0.82859,           0.0084124,           0.0047005,           0.0057949,            0.008218,            0.008218,            0.008218
